route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
933-203,4389-07e8c828,91 Verbena Road,12,0.307116197660631,0.8
933-203,4381-e4f40bec,Castleton Street,13,0.19027771060897666,0.5333333333333333
933-203,4307-8622d388,41 Verbena Road,14,0.38197957964340784,1.0166666666666666
933-203,4339-21646381,Verran Road,15,0.3036187508437698,1.2
933-203,4067-b3b9fca9,Kauri Road,16,0.2749083650761219,0.9666666666666667
933-203,4015-a14b306b,Balmain Road,17,0.23424794857984785,0.9333333333333333
933-203,4351-644a036d,New World Birkenhead,18,0.2885774224237963,1.0166666666666666
933-203,4019-77cf720e,Roseberry Avenue,19,0.28135168882412,1.0
933-203,4017-3896d130,Porritt Avenue,20,0.4235436647518921,1.5333333333333334
933-203,3983-eed81dd3,Birkenhead Square,21,0.2388322213173839,1.3333333333333333
933-203,4030-2ac77ad4,Highbury Shops,22,0.1478355894708485,0.43333333333333335
933-203,3949-3e95acd9,Birkenhead Avenue,23,0.22177427579167663,0.43333333333333335
933-203,3951-9f0b65bb,Aorangi Place,24,0.32570349562754886,0.6166666666666667
933-203,3953-65d457e4,Park Avenue,25,0.2436895788514744,0.48333333333333334
933-203,3955-edf582eb,Onewa Road/Northcote College,26,0.2184544694828403,0.4166666666666667
933-203,3957-95f7701d,St Mary's Catholic Church,27,0.3864793259690108,0.75
933-203,3959-54a6c40a,Northcote Primary School,28,0.31506763975173735,0.6
933-203,3961-695cebe3,Bruce Street,29,3.914006839036966,10.266666666666667
933-203,1315-1e8f2b03,Fanshawe Street/Victoria Park,30,0.3402264122313108,2.816666666666667
933-203,7142-fda95eea,Customs Street West,31,0.7336671894625119,5.8
933-203,7018-d16cf618,Britomart Queens Arcade,32,0.40013430432657077,3.2666666666666666
933-203,7140-40c91a0c,Anzac Avenue/Beach Road,33,0.27656902936744576,5.5
933-203,7013-fa39a01e,Auckland High Court,34,0.3149547005742051,2.85
933-203,1729-de67e7b2,Alfred Street,35,0.2607911268868541,2.7666666666666666
933-203,7145-caabaedd,Waterloo Quadrant,36,,
22R-202,4308-b5e254d1,Copsey Place,1,0.22426808728845601,0.8166666666666667
22R-202,8562-4741ff24,Rosebank Road corner,2,0.20226229841125323,0.45
22R-202,8564-ed179826,Waterton Place,3,0.25348729722034635,0.6333333333333333
22R-202,8566-d05d7d7c,Esmeralda Avenue,4,0.23291244591603755,0.7333333333333333
22R-202,8583-683933e7,Mead Street,5,0.16705760926669352,0.4
22R-202,1081-dbb1d74b,Maple Street,6,0.13241214106968327,0.35
22R-202,1637-e2cc5418,Maire Street,7,0.2304563119084904,0.5166666666666667
22R-202,8579-e0f8bac3,Oregon Avenue,8,0.2085236868598724,0.48333333333333334
22R-202,1639-2b968351,Rosebank Shops,9,0.1573168023414367,0.48333333333333334
22R-202,8549-df9aef8d,Eastdale Reserve,10,0.33766372683946944,0.7666666666666667
22R-202,8547-278f8ed7,Rosebank Road/Riversdale Road,11,0.24927616660937546,0.5666666666666667
22R-202,8545-aed7c410,Rosebank Road/Victor Street,12,0.17561754457350076,0.43333333333333335
