route_id,stop_id,stop_name,stop_sequence
917-203,3893-d27746b8,McDowell Crescent,34
917-203,3895-4f849362,Coroglen Avenue,35
917-203,3897-3dcd3c1c,Pupuke Road,36
917-203,3899-cec95e3b,Waratah Street,37
917-203,3901-2273ccaa,Highbury Shops,38
917-203,4263-1d6cc012,Mariposa Crescent,39
917-203,4265-7dbf90b0,Le Roy Terrace,40
917-203,3977-48168624,Rugby Road,41
917-203,4091-e72a7696,Awanui Street,42
917-203,3973-8aeb420a,Birkenhead Wharf,43
931-203,7145-caabaedd,Waterloo Quadrant,1
931-203,7141-d8af5868,Anzac Avenue/Beach Road,2
931-203,7016-875f30cb,Stop A Britomart Queens Arcade,3
931-203,7034-7b36cf5b,Bradnor Lane,4
931-203,7036-f1ffa0be,Fanshawe Street/Victoria Park,5
931-203,4007-a83340d0,Stafford Park,6
931-203,4009-056e9fbd,Stafford Road/Stafford Road Shops,7
931-203,4088-48a1f624,Belle Vue Street,8
931-203,4074-7874377f,Northcote Primary School,9
931-203,4076-af729862,St Mary's Catholic Church,10
931-203,4078-48253b25,Onewa Road/Northcote College,11
931-203,4080-a0eeb155,Park Avenue,12
931-203,4082-99e2cd3a,Aorangi Place,13
931-203,4084-21e50969,Birkenhead Avenue,14
931-203,3901-2273ccaa,Highbury Shops,15
931-203,4106-08f45c4d,Birkenhead Square,16
931-203,4110-651b98e2,Willow Avenue,17
931-203,3985-8c60f695,Calman Place,18
931-203,3987-f4af879f,Blundell Place,19
931-203,3989-fab96594,Makepiece Place,20
931-203,3991-1231d203,Heaton Grove,21
931-203,4116-240d6537,44 Chelsea View Drive,22
931-203,4118-5190163a,Portsea Place,23
931-203,4120-04daea58,Homewood Place,24
931-203,3999-9ddaa3f4,Bragato Place,25
931-203,4001-5d2b7426,Chelsea Primary School,26
931-203,4451-0c6e1481,Chelsea Kindergarten,27
931-203,4449-26a5d475,Mokoia Road,28
RBW-402,5975-c6cc5505,Swanson Station,1
RBW-402,1628-edb185b5,Ranui Station,2
RBW-402,5881-3b8729a4,Sturges Road,3
RBW-402,5860-54b01d1a,Stop B Henderson Station,4
RBW-402,1630-ba3b00c3,Sunnyvale Station,5
RBW-402,5429-821b0f7e,Glen Eden Station,6
RBW-402,1609-a457c196,Fruitvale Road,7
RBW-402,5914-233d0cdc,Stop E New Lynn,8
RBW-402,1534-a48bd69a,Avondale Station,9
RBW-402,8233-06339fbb,Mount Albert Station,10
RBW-402,8867-158c65b0,Asquith Avenue,11
RBW-402,8217-95b4769f,Morningside Station,12
RBW-402,8211-8a4f4ede,Kingsland Shops,13
RBW-402,7176-5f375d10,Khyber Pass Road/Mountain Road,14
RBW-402,7206-e2c4de75,Stop B Westfield Newmarket,15
RBW-402,7401-a5e03a87,Stop E Newmarket Station,16
RBW-402,7187-f06c0550,Parnell Shops,17
RBW-402,7019-18ba0388,Britomart Commerce Street,18
981-221,4831-0b8bcab5,Moana Avenue/Orewa Shops,1
981-221,4810-431b636a,Alice Avenue,2
981-221,4815-cb652b28,St Andrews Presbyterian Church,3
981-221,4813-4284f866,Doment Crescent,4
981-221,4811-a4f2ee0d,Weiti Road,5
981-221,4809-4534a012,Orewa Baptist Church,6
981-221,4783-c6f02559,Hibiscus Coast Highway/Red Beach Road,7
981-221,4785-4a1e35c9,Pohutukawa Avenue,8
981-221,4787-bcb07c06,Jelas Road,9
981-221,4982-1f78709d,Stop B Hibiscus Coast,10
RBS-402,2554-a68c9573,Papakura Station,1
RBS-402,2539-0c4475ef,Maru Road,2
RBS-402,2427-47981d24,Great South Road/Te Mahia Station,3
RBS-402,6048-79f366f2,Stop A Manurewa Station,4
RBS-402,6105-a18f1a30,Homai Station,5
RBS-402,1793-29934674,Stop C Puhinui,6
RBS-402,2381-e4efe052,Stop B Papatoetoe Station,7
RBS-402,2024-4feecb3f,Middlemore Station and Hospital,8
RBS-402,1771-118407aa,Stop D Otahuhu Station,9
RBS-402,1775-79982353,Stop A Otahuhu Station,10
RBS-402,7627-978eb78a,Penrose Station/Great South Road,11
RBS-402,1536-37828385,Stop C Ellerslie,12
RBS-402,7613-a5afaf7e,Countdown Greenlane,13
RBS-402,7605-01c4b26f,Great South Road/Market Road,14
RBS-402,7401-a5e03a87,Stop E Newmarket Station,15
RBS-402,7187-f06c0550,Parnell Shops,16
RBS-402,7017-6e27ec87,Stop B Britomart Queens Arcade,17
351-205,6231-190b2aaa,Stop A Botany Town Centre,1
351-205,6294-ccdb6518,Countdown Botany,2
351-205,6296-473fe125,The Hub,3
351-205,6137-efe1e5a5,Burswood Drive,4
351-205,2021-bd5d7cb9,Cryers Road/Harris Road,5
351-205,2023-cdad6345,Carpenter Road,6
351-205,2025-d0f7bbed,Cryers Road/Neales Road,7
351-205,2349-122ee6b1,Echelon Place,8
351-205,2092-a123ae7d,Maurice Paykel Place,9
351-205,2090-628f6180,The Crossing,10
351-205,2071-8c831e6b,Pukekiwiriki Place,11
351-205,2086-ebd84fbd,El Kobar Drive,12
351-205,2084-5a19fd6e,Sir Woolf Fisher Drive,13
351-205,6403-505b8632,Wymondley Shops,14
351-205,6401-9b98ec88,Bairds Road,15
351-205,6569-cf5bed8d,Nelson Street,16
351-205,7649-7f88ce37,Alexander Street,17
351-205,6565-880d14bd,Fort Richard Road,18
351-205,1355-72782936,Stop A Otahuhu Town Centre,19
351-205,7025-f2894a7d,Otahuhu Library,20
351-205,1771-118407aa,Stop D Otahuhu Station,21
112-206,5883-d620d9de,Hobsonville Point Terminal,1
112-206,1551-5c33d3f6,Hudson Bay Road/Buckley Avenue,2
112-206,1531-5dcce673,Isitt Road,3
112-206,1665-8b2e6296,Hobsonville Point Primary School,4
112-206,1647-bba0c1b4,Hobsonville Point Secondary,5
112-206,5809-9b1e4154,Hobsonville War Memorial Park,6
112-206,5680-1c86e7ba,Hobsonville Town Centre,7
112-206,5682-f998849d,Williams Road,8
112-206,5684-88edfc8d,86 Wiseley Road,9
112-206,5686-181276aa,Mako Street,10
112-206,1672-5cf8837d,Clearwater Cove,11
112-206,5672-7ec89835,Marina View Reserve,12
112-206,5674-51fb773c,Marina View School,13
112-206,5651-0f6b4e24,Renoir Street,14
112-206,5653-e7a1b1f7,West Harbour Drive,15
112-206,5655-efb51f36,Graceview Way,16
112-206,5657-80a585ed,Matisse Drive,17
112-206,5659-ed549283,Pahi Park,18
112-206,5647-4b4a0bbc,West Harbour Church,19
112-206,5645-924c634c,Rena Place,20
112-206,5643-bd03bf8b,Elizabeth Drive,21
112-206,5675-5c4da3a9,Manutewhau Walk,22
112-206,5673-8554b87c,Oreil Avenue/Fitzherbert Avenue,23
112-206,5677-d9fd1c6a,Westgate Pedestrian Bridge,24
112-206,5671-6c8efd55,St Catherine Crescent,25
112-206,5667-5e35d67e,Hobsonville Road/Oriel Avenue,26
112-206,5991-fe74ede0,Tawhia Drive/Rotu Drive,27
112-206,5941-0575e04d,NorthWest Shopping Centre,28
148-206,5471-4fa4bf72,Swanson Road/Arney Road,1
148-206,1573-d3ee1bfb,Bahari Drive,2
148-206,1575-fce76d2f,Carwen Place,3
148-206,5780-55aca7e3,12 Universal Drive,4
148-206,5782-a5d103c4,Lincoln Garden Close,5
148-206,5784-4921b85f,Riverpark Reserve,6
148-206,5786-7e9794f9,Riverpark Crescent,7
148-206,1612-3bd2c2c8,PAK'nSAVE Lincoln Road,8
